"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"29",0,0,0,0,0,0,0,0,0,499,55,27,44,27,49,25,0,0,16,51
"30",0,64,140,183,230,297,353,397,466,530,50,24,38,18,37,0,0,0,0,0
"31",9,80,142,185,0,0,0,401,430,470,54,25,40,24,46,23,0,0,14,53
"32",0,0,111,159,0,0,0,0,412,501,0,0,0,0,39,26,33,38,23,52
"33",0,51,0,0,0,0,0,384,446,482,41,28,32,0,0,0,0,0,0,0
"34",0,58,99,0,229,285,333,391,477,500,0,0,0,12,37,24,27,0,0,57
"35",18,74,0,0,0,269,353,392,432,468,48,20,0,0,0,0,0,0,19,46
"36",0,0,0,0,199,0,333,392,438,492,0,0,40,25,47,28,39,54,22,42
"37",0,0,0,163,212,306,360,409,490,553,47,26,39,16,0,0,33,0,15,0
"38",0,0,87,0,0,276,328,395,407,469,0,0,0,0,25,0,0,0,0,0
"39",5,0,0,0,0,276,324,0,0,507,0,0,0,14,0,0,0,0,0,0
"40",0,0,120,0,0,0,0,362,438,494,0,0,0,0,0,0,0,32,20,51
"41",0,0,0,0,225,297,355,432,436,0,50,0,0,0,0,0,28,41,0,0
"42",7,0,0,0,0,0,339,418,466,481,0,0,0,0,35,20,0,0,0,0
"43",10,0,0,164,0,0,322,396,429,495,0,0,36,0,0,0,0,0,13,53
"44",0,0,104,0,228,284,349,381,427,486,0,0,0,14,29,0,0,0,19,50
"45",0,0,0,0,0,299,332,399,445,501,0,0,0,0,0,0,0,0,13,44
"46",13,74,135,203,235,292,306,382,0,484,46,0,39,20,42,0,0,35,16,49
"47",0,64,103,171,250,321,353,422,484,556,58,33,34,15,0,0,0,0,0,0
"48",7,0,114,0,0,285,369,426,476,527,0,21,0,0,0,0,29,38,10,0
"49",0,0,0,169,0,275,335,381,461,504,47,23,36,0,35,31,44,36,19,40
"50",0,0,101,173,0,0,0,0,430,0,46,22,0,0,0,0,0,0,0,38
"51",0,0,115,157,236,292,338,399,437,463,8,0,43,19,0,23,0,0,14,32
"52",0,0,114,0,0,0,0,404,421,462,0,0,0,0,0,0,0,27,16,0
"53",0,0,115,163,223,258,0,394,454,526,10,34,57,22,0,0,0,0,17,0
"54",0,0,0,0,221,0,341,360,422,501,0,22,46,21,13,40,58,32,14,0
"55",0,60,0,0,0,0,0,378,410,514,16,49,68,22,6,0,0,0,0,0
"56",0,0,109,0,0,0,321,0,0,0,0,25,55,0,0,0,0,0,14,30
"57",0,0,0,0,0,0,320,374,461,486,0,0,0,0,12,24,39,19,0,0
"58",0,68,132,172,226,277,328,398,0,0,0,0,0,19,0,0,0,0,0,0
"59",0,0,0,0,0,0,304,0,429,508,0,23,0,0,0,0,0,0,0,23
"60",0,0,107,186,251,307,346,379,433,486,0,0,0,0,0,0,45,28,17,46
"61",0,0,0,0,0,0,0,397,445,522,0,0,38,0,0,22,0,0,21,32
"62",16,66,111,168,218,271,0,0,0,497,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,214,0,337,425,472,540,0,0,0,0,0,34,46,20,0,37
"64",0,0,0,0,0,297,348,381,430,0,12,38,32,17,0,24,56,0,15,30
"65",0,0,126,196,251,315,341,419,427,0,0,0,47,22,16,35,0,0,0,37
"66",0,59,105,179,0,287,339,363,427,0,0,0,45,18,15,27,43,0,18,32
"67",0,0,0,158,235,305,361,433,496,502,0,0,44,21,0,33,44,25,15,0
"68",0,67,124,180,208,0,311,401,477,0,9,0,46,0,10,0,0,33,0,36
"69",0,0,0,0,0,274,351,403,426,498,12,0,50,15,12,26,51,29,24,0
"70",0,53,110,174,0,0,329,377,0,531,12,37,46,0,0,0,0,0,17,34
"71",0,0,122,180,222,273,358,409,433,485,8,25,0,0,8,0,33,0,23,39
"72",8,64,126,174,228,298,364,423,460,508,0,0,0,0,16,26,56,40,15,0
"73",0,0,0,0,0,249,330,372,399,503,12,0,0,0,0,32,49,30,15,0
"74",0,0,0,0,0,0,335,420,464,495,0,0,53,29,11,0,0,0,0,0
"75",0,63,104,169,251,0,0,0,440,505,0,0,0,0,0,0,51,24,0,0
"76",0,0,0,0,0,0,0,340,0,0,50,20,40,40,0,15,27,26,25,0
"77",0,0,0,0,229,278,342,397,445,482,0,0,0,0,0,8,0,18,0,0
"78",7,0,105,166,219,0,333,353,460,519,0,0,0,0,0,12,41,30,22,12
"79",0,54,122,0,0,0,0,362,0,454,0,0,40,34,0,0,0,0,0,0
"80",0,0,124,159,203,301,350,410,447,497,0,0,0,0,0,0,35,23,0,0
"81",0,65,0,0,215,278,342,380,434,466,0,0,0,0,0,0,0,0,0,0
"82",0,0,134,163,0,0,303,395,432,486,0,0,0,37,40,8,31,0,0,0
"83",0,0,106,170,0,0,316,408,476,477,33,0,25,0,38,17,23,25,25,0
"84",0,0,0,0,0,0,319,0,0,0,38,18,0,36,36,11,0,0,0,9
"85",0,0,107,0,227,273,336,420,461,473,0,0,0,0,0,0,25,0,33,0
"86",0,75,130,199,245,299,354,400,478,521,43,15,42,25,0,10,30,20,17,10
"87",0,0,118,163,228,279,359,418,433,486,0,0,0,0,0,10,0,0,0,0
"88",0,0,0,0,0,0,341,409,449,457,49,20,0,0,0,0,35,21,0,0
"89",3,0,117,0,225,276,332,390,463,517,45,23,42,42,31,13,0,21,0,0
"90",6,59,0,0,237,283,326,371,457,506,0,0,0,0,0,0,33,29,18,0
"91",8,0,108,0,226,289,330,377,431,494,0,0,0,0,38,0,0,0,0,0
"92",0,64,117,163,0,0,0,0,0,0,39,25,32,29,0,0,0,0,20,12
"93",0,63,132,164,0,285,0,0,424,479,0,0,0,0,0,0,0,0,0,10
"94",0,54,127,172,227,0,0,381,0,492,26,0,0,0,0,0,0,0,0,0
"95",0,54,108,182,0,0,324,399,472,525,0,13,0,0,0,0,0,0,25,0
"96",0,0,115,159,0,266,340,425,471,500,0,0,26,35,39,8,35,29,28,18
"97",9,81,120,159,0,272,376,420,450,541,0,0,0,0,0,12,0,0,0,0
"98",11,0,0,0,0,0,0,365,437,0,42,0,0,28,38,16,33,26,37,20
"99",6,61,0,0,0,276,334,382,0,0,40,20,38,43,42,13,37,33,36,16
"100",12,62,127,191,237,275,354,383,429,510,37,0,0,0,0,8,0,0,0,0
"101",0,0,0,0,0,0,326,0,0,480,0,30,0,0,0,16,33,17,0,0
"102",0,0,122,177,247,270,371,436,465,514,25,33,50,0,43,24,21,20,26,55
"103",0,54,118,185,240,0,318,386,440,537,0,0,0,0,0,0,0,0,22,41
"104",11,64,124,200,225,275,344,0,421,505,24,0,43,56,35,0,35,24,22,47
"105",0,56,121,192,0,288,365,0,0,502,0,0,0,51,38,23,0,16,24,61
"106",0,0,115,0,225,0,341,374,0,0,0,0,0,47,0,0,0,0,0,40
"107",0,0,106,155,0,268,0,0,442,516,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,338,399,0,489,0,22,35,47,0,23,0,0,0,0
"109",0,0,0,0,188,0,0,373,448,507,25,25,0,0,32,0,0,0,0,0
"110",0,0,104,0,226,294,362,422,468,495,0,0,0,41,0,0,0,0,25,43
"111",0,48,128,149,223,0,324,401,471,508,21,0,0,50,0,0,0,21,25,56
"112",0,67,131,172,221,272,323,0,0,489,19,29,50,39,0,0,0,21,0,0
"113",0,0,0,181,244,325,358,403,432,480,0,0,0,0,0,0,0,0,0,38
"114",0,69,131,199,239,285,338,417,465,533,0,0,0,0,0,0,28,25,21,46
"115",0,0,118,0,0,282,330,0,438,460,20,0,0,0,0,25,0,0,22,46
"116",0,64,131,186,250,288,350,371,437,511,20,0,0,0,0,0,0,16,15,41
"117",7,61,0,0,230,281,331,390,457,532,21,32,0,47,53,24,0,0,0,43
"118",0,0,104,0,0,0,0,363,461,528,25,0,0,0,0,0,0,23,20,0
"119",6,61,107,0,0,0,0,0,0,0,0,0,0,44,43,28,35,0,0,39
"120",0,0,99,0,194,0,333,409,460,510,0,0,0,0,34,0,34,25,17,50
"121",0,0,0,187,230,262,344,391,468,507,11,0,46,50,38,12,35,24,0,0
"122",0,58,123,167,237,0,291,379,402,529,0,0,52,48,43,0,35,20,0,0
"123",0,70,121,189,235,280,0,372,455,505,17,0,0,0,0,19,0,0,15,0
"124",0,67,120,156,218,284,391,446,480,537,19,30,0,0,0,0,0,0,22,40
"125",0,0,0,161,224,291,328,379,438,517,0,0,0,52,40,24,39,27,0,46
"126",0,0,112,0,227,293,336,404,465,499,0,0,0,0,0,38,32,13,36,27
"127",0,0,0,164,229,285,354,396,467,514,0,55,45,7,13,37,26,0,29,23
"128",0,0,99,164,239,300,359,405,423,505,26,51,0,0,0,0,0,0,0,21
"129",0,0,0,167,210,266,354,401,461,489,0,0,0,0,0,0,0,0,0,0
"130",0,0,118,153,0,0,0,0,384,448,0,0,0,6,0,42,45,17,0,0
"131",0,0,118,0,0,0,0,381,438,523,34,51,0,12,0,40,0,8,0,32
"132",0,0,128,187,244,290,348,365,398,512,0,65,49,0,17,0,23,7,39,19
"133",9,0,132,183,241,260,339,391,419,0,0,0,40,14,24,41,41,13,39,38
"134",0,0,0,0,0,270,330,398,448,513,0,41,0,0,9,0,41,13,29,21
"135",7,65,118,147,245,300,344,367,430,517,0,0,0,0,0,0,0,0,0,0
"136",9,64,116,0,219,255,341,391,429,0,31,43,43,0,0,0,0,8,35,28
"137",13,0,0,0,231,299,346,386,463,547,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,219,290,341,399,447,522,0,0,0,0,0,30,48,26,48,30
"139",0,68,125,188,237,287,357,386,0,500,0,0,42,11,0,0,0,7,0,32
"140",0,72,122,0,0,295,347,397,447,527,34,40,56,9,0,0,0,0,0,0
"141",0,0,122,178,237,0,0,365,428,520,26,0,42,12,9,0,0,10,0,0
"142",0,0,0,0,190,285,306,0,0,456,32,45,0,0,0,0,0,0,0,0
"143",0,0,0,0,219,273,356,411,450,516,0,49,35,11,17,38,30,15,0,0
"144",0,67,128,0,0,0,340,0,422,0,0,0,0,0,0,0,0,9,41,30
"145",0,0,112,155,0,0,0,0,0,0,0,52,0,0,0,35,36,18,39,22
"146",0,0,0,0,0,0,335,383,423,482,22,43,31,11,13,48,41,0,34,37
"147",10,63,134,184,221,285,339,372,428,496,0,0,39,9,0,0,0,0,0,0
"148",0,0,0,0,189,0,314,376,472,523,27,49,0,0,18,0,34,15,44,25
"149",15,0,115,167,244,302,0,0,429,504,35,53,48,7,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,359,410,505,38,56,49,0,0,0,0,0,0,0
"151",9,55,112,171,231,0,334,381,456,502,0,0,0,0,0,0,0,0,0,0
"152",0,58,107,187,223,281,285,373,415,474,0,37,15,33,0,0,10,0,41,0
"153",0,0,0,0,209,0,0,0,0,455,0,0,12,37,53,47,0,24,40,0
"154",6,69,137,212,248,295,337,387,441,513,26,37,19,32,0,0,0,0,0,38
"155",0,0,123,0,0,274,347,357,432,507,0,0,0,36,33,0,0,0,0,0
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,37,55,62,25,47,49,0
"157",0,0,125,177,230,284,350,414,468,544,0,0,0,0,0,0,0,0,0,0
"158",0,0,116,175,246,273,343,383,438,553,30,38,0,0,0,0,17,39,42,0
"159",12,65,117,162,223,289,350,408,439,0,26,38,16,38,0,0,13,0,0,0
"160",0,0,120,190,0,0,0,0,0,0,0,0,0,39,0,0,0,29,48,52
"161",0,0,103,167,219,282,345,401,415,0,0,32,0,0,0,0,0,31,47,0
"162",0,0,0,0,0,0,336,360,0,465,0,0,0,0,0,0,22,31,0,0
"163",0,0,0,171,235,0,0,0,0,0,0,0,0,38,0,43,22,39,46,0
"164",9,71,131,145,217,0,310,368,0,0,0,0,0,0,0,48,10,0,0,0
"165",0,0,117,173,0,288,351,338,424,501,0,0,16,0,33,0,0,0,0,0
"166",0,0,0,0,0,0,0,380,432,499,23,0,0,0,0,43,12,0,0,34
"167",0,0,115,0,0,0,330,406,428,0,22,0,16,41,41,32,15,31,0,39
"168",0,69,101,143,0,0,328,410,455,514,0,0,0,0,33,57,19,31,0,0
"169",9,64,115,176,233,287,334,394,461,512,15,0,0,0,0,0,22,30,0,43
"170",0,0,120,170,0,0,310,446,492,553,0,0,14,33,42,50,8,0,44,45
"171",10,77,131,0,0,0,320,393,453,493,0,0,0,0,0,0,0,0,0,0
"172",0,0,110,0,218,0,334,0,0,507,0,0,0,0,0,46,0,33,0,36
"173",10,71,121,0,0,0,342,0,0,0,0,0,0,36,0,0,21,32,49,49
"174",7,60,125,178,229,270,351,374,421,499,0,0,0,33,0,0,0,26,0,44
"175",0,58,127,187,237,289,364,401,436,460,0,24,0,0,33,0,0,0,0,44
"176",0,68,120,160,0,264,365,397,450,0,25,0,0,14,0,0,0,0,25,0
"177",0,0,0,0,247,244,319,376,0,469,0,0,36,0,0,24,0,0,26,0
"178",0,0,131,163,219,266,326,0,427,535,18,0,36,12,14,0,0,0,0,0
"179",0,0,128,152,0,0,0,0,0,0,30,37,45,19,13,0,0,0,0,0
"180",12,60,128,204,240,292,344,406,482,513,28,27,40,16,0,0,10,42,0,0
"181",0,0,118,182,239,265,333,0,425,468,19,26,32,0,0,24,16,56,31,30
"182",0,66,119,183,249,293,327,405,454,509,0,0,0,18,22,18,0,0,0,0
"183",0,67,120,200,225,279,340,381,453,492,0,0,0,0,0,17,0,41,0,0
"184",4,0,120,168,0,280,346,392,438,444,17,43,33,0,0,0,0,0,25,40
"185",0,59,131,164,0,296,340,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",0,0,0,0,222,285,339,0,447,478,0,37,42,17,0,0,0,0,22,35
"187",9,62,0,181,241,277,322,373,437,542,0,39,0,0,0,0,0,0,0,0
"188",12,63,122,0,0,0,320,398,419,466,23,34,0,0,0,0,10,0,0,26
"189",0,0,0,0,237,304,351,401,413,478,0,0,43,26,23,31,13,45,22,0
"190",0,0,122,149,0,0,319,379,443,0,0,28,43,0,0,18,0,0,26,44
"191",0,0,119,192,262,299,359,400,456,513,0,0,0,0,0,0,0,0,0,0
"192",8,70,129,185,232,288,332,375,450,455,0,0,0,0,0,0,0,0,28,27
"193",0,0,0,0,0,283,310,0,413,489,0,0,0,0,17,0,0,39,0,0
"194",0,0,0,180,0,0,331,376,0,0,25,32,35,0,17,0,0,0,0,0
"195",5,67,128,160,0,0,319,386,440,490,0,0,36,17,14,20,0,49,27,28
"196",0,64,115,169,222,283,336,366,452,526,21,0,0,0,21,0,0,38,22,0
"197",0,0,112,166,0,296,342,407,441,0,0,26,0,0,0,0,9,0,30,27
"198",8,51,123,192,240,256,351,433,463,534,0,0,0,0,0,0,8,0,0,0
"199",0,0,0,0,0,278,326,405,462,503,0,0,0,0,0,0,0,0,25,38
"200",12,68,120,164,0,0,0,0,437,475,22,0,0,0,0,0,0,0,0,0
"201",20,78,128,194,0,0,317,410,443,511,0,39,0,0,24,0,0,0,0,0
"202",0,0,0,0,0,0,338,0,415,499,0,0,0,0,0,0,0,0,26,33
"203",0,0,102,181,230,254,330,406,458,550,0,0,0,0,25,56,45,45,36,41
"204",7,0,0,175,0,0,324,374,446,480,0,0,0,0,28,33,0,0,0,0
"205",8,65,149,190,230,284,333,392,475,514,0,0,0,37,31,47,40,0,0,38
"206",0,0,110,176,243,283,320,398,453,0,0,49,0,27,0,35,0,0,0,0
"207",0,0,119,177,0,285,357,407,495,516,0,0,0,0,0,0,35,50,28,37
"208",0,62,131,185,0,0,299,394,439,490,0,42,0,0,0,0,0,0,0,0
"209",10,0,0,0,0,0,0,0,425,538,27,0,0,22,0,40,41,55,37,48
"210",0,0,0,0,233,265,0,364,0,477,0,0,0,0,0,0,0,47,27,0
"211",0,63,123,0,231,293,367,407,438,0,0,0,0,35,37,0,0,0,23,39
"212",9,67,0,0,258,301,348,420,454,521,0,0,0,0,31,0,39,0,0,0
"213",7,0,108,177,231,290,357,428,474,515,0,0,0,21,28,29,0,52,29,0
"214",0,0,0,181,0,0,305,389,468,499,0,0,0,0,40,54,38,0,28,0
"215",6,52,116,183,216,0,0,0,0,516,0,41,0,37,29,47,0,0,25,33
"216",0,0,0,0,0,284,337,378,435,533,28,0,0,0,0,0,0,0,0,0
"217",10,0,0,0,214,0,318,355,0,498,0,0,46,0,0,0,0,50,0,41
"218",6,67,126,168,0,278,297,375,437,0,0,0,43,0,38,0,0,0,0,0
"219",0,43,126,188,220,260,314,366,0,0,0,0,0,35,39,45,39,57,0,0
"220",0,72,117,177,240,297,323,392,457,474,0,48,0,22,33,51,45,0,0,0
"221",0,0,104,0,203,0,0,371,0,477,0,0,0,0,0,35,50,69,39,51
"222",0,0,0,0,0,0,324,372,0,0,0,0,0,0,0,0,0,44,34,51
"223",0,61,101,0,207,0,0,368,467,508,0,0,0,0,0,0,0,0,0,0
"224",0,0,115,152,237,292,325,0,432,0,0,45,0,0,0,39,0,0,0,0
"225",0,0,0,0,0,0,0,388,468,493,0,0,0,0,0,0,0,0,0,0
"226",0,50,118,150,0,265,341,382,442,519,43,14,0,7,0,19,6,0,0,0
"227",0,0,0,180,261,298,351,389,410,462,49,18,0,12,0,0,0,28,35,61
"228",0,0,115,170,239,290,371,428,457,487,0,17,47,9,0,0,0,0,0,0
"229",0,0,0,180,225,276,315,372,0,0,57,18,35,0,0,27,18,11,0,0
"230",7,0,0,0,0,0,326,375,439,502,52,20,0,7,38,0,0,0,0,0
"231",9,60,125,174,219,0,305,356,427,506,0,0,35,12,54,22,0,20,24,0
"232",9,0,0,175,223,283,366,408,456,0,0,0,0,0,54,37,20,20,17,0
"233",8,0,0,0,200,0,336,345,0,0,0,17,0,0,0,0,11,0,0,49
"234",0,0,117,157,0,284,334,0,0,0,0,0,0,0,0,0,0,0,22,48
"235",0,0,0,163,218,277,350,394,444,473,34,18,0,0,0,0,0,0,0,0
"236",0,0,130,195,246,0,339,406,459,512,0,0,37,16,37,0,0,0,0,0
"237",0,0,115,0,214,300,346,388,422,521,0,13,0,0,0,24,14,30,0,0
"238",0,0,0,173,221,0,331,0,429,482,0,15,40,11,0,0,0,0,0,0
"239",0,0,0,183,217,267,368,403,482,515,52,18,32,6,45,0,16,0,0,0
"240",0,0,0,0,0,0,325,378,461,519,37,19,0,0,0,0,12,23,23,0
"241",0,0,0,0,212,295,354,423,451,555,44,9,0,0,36,31,14,18,0,57
"242",0,0,0,0,0,291,336,387,437,503,0,0,39,8,46,33,18,21,23,0
"243",0,70,131,182,230,299,338,406,435,529,40,15,0,0,0,0,0,0,0,0
"244",0,0,123,0,0,0,0,0,0,0,0,9,0,0,0,24,11,25,20,35
"245",0,74,130,172,0,0,0,368,420,477,0,12,0,12,0,0,10,0,18,0
"246",0,0,0,0,193,261,0,372,431,493,52,18,60,23,61,36,17,25,25,48
"247",6,62,126,167,206,299,336,0,0,493,54,17,49,10,44,0,0,19,12,47
"248",0,0,0,0,217,0,0,387,442,539,0,0,32,0,40,0,18,25,21,52
"249",0,62,0,0,0,252,0,0,408,477,54,13,35,0,0,0,13,26,0,48
"250",0,0,106,175,240,285,326,388,478,489,52,17,47,20,45,28,0,0,0,0
"251",0,0,0,0,220,0,0,405,421,0,0,0,0,0,33,35,33,27,47,37
"252",6,0,113,168,215,293,357,411,447,528,12,26,0,0,0,46,38,0,0,0
"253",0,56,109,160,234,246,326,377,400,529,0,32,11,0,0,0,0,0,0,35
"254",0,66,121,187,228,267,342,409,466,536,0,0,13,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,312,364,427,478,13,43,20,47,37,46,35,31,0,0
"256",0,0,120,0,0,278,0,366,443,524,0,33,0,0,0,0,0,0,0,0
"257",0,0,0,0,0,0,0,375,454,481,15,26,0,0,0,0,0,0,0,0
"258",0,0,114,187,235,293,334,391,454,520,0,0,13,0,0,0,0,0,0,0
"259",8,46,132,174,225,297,367,389,447,472,0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,440,503,0,0,15,0,0,0,28,21,42,0
"261",0,0,0,0,204,268,346,411,468,510,0,0,18,58,44,0,0,26,49,0
"262",0,0,93,177,247,302,350,393,431,499,0,0,16,50,0,39,26,24,0,42
"263",9,0,0,0,236,303,323,405,467,492,0,0,16,61,45,36,33,22,55,35
"264",6,0,0,158,224,307,363,396,440,494,0,0,0,55,0,30,0,19,46,41
"265",0,64,131,179,244,281,320,0,0,488,0,32,16,42,0,0,0,21,38,0
"266",0,70,122,179,215,273,0,393,439,0,15,0,15,45,37,46,34,27,0,0
"267",0,0,116,182,0,274,317,395,471,543,0,0,0,0,36,0,46,35,42,27
"268",0,0,126,0,217,0,328,392,439,488,0,0,0,0,0,31,36,26,49,38
"269",0,65,128,167,222,279,360,408,425,534,16,30,13,32,0,0,32,21,0,42
"270",0,56,120,172,239,293,351,398,445,496,8,0,22,53,40,48,36,0,0,48
"271",0,0,0,150,0,0,325,390,452,0,11,30,0,43,30,0,36,0,0,36
"272",0,0,124,0,0,0,329,425,485,510,0,35,24,43,41,0,0,0,0,0
"273",0,0,0,184,227,303,341,391,0,512,0,0,14,50,0,0,0,0,0,0
"274",0,0,0,0,0,0,348,418,428,498,0,0,0,0,35,37,41,29,43,45
"275",0,0,0,165,0,0,340,386,460,516,0,0,0,0,0,0,0,22,0,0
"276",4,64,123,166,224,0,291,0,417,511,0,39,0,0,0,0,0,0,0,0
"277",0,0,0,178,0,271,0,384,448,523,37,0,0,49,12,13,23,45,0,0
"278",0,0,0,0,0,0,304,373,458,502,0,34,39,58,14,7,31,59,35,0
"279",0,62,118,151,0,274,325,385,462,511,0,0,0,0,12,10,22,0,0,0
"280",0,0,0,0,202,0,0,371,449,487,0,0,0,0,0,0,0,0,0,0
"281",13,60,107,0,231,301,377,365,0,0,0,0,0,0,0,0,0,0,0,9
"282",0,0,0,0,0,268,344,399,455,0,41,40,0,0,0,7,19,0,0,15
"283",0,64,110,0,203,289,376,390,427,502,0,0,32,42,0,11,0,0,31,17
"284",0,61,126,158,235,0,346,381,453,468,0,0,27,51,18,12,19,0,26,15
"285",0,0,0,149,0,0,0,368,456,509,0,0,0,0,0,0,22,0,0,0
"286",11,64,115,0,227,0,0,395,462,511,0,0,0,0,0,0,0,0,0,0
"287",0,0,0,153,218,299,0,378,0,482,0,0,0,0,0,0,0,0,0,0
"288",0,75,134,184,0,0,0,373,0,468,0,0,0,0,0,0,14,0,0,0
"289",0,66,113,0,0,280,318,375,458,494,31,0,0,62,10,13,0,0,0,0
"290",0,0,0,167,0,0,323,0,0,492,0,36,36,51,15,17,33,48,31,12
"291",0,0,110,0,0,244,352,402,465,501,0,32,31,0,0,12,25,48,31,0
"292",0,63,108,150,241,291,345,389,447,0,31,0,0,39,12,0,0,39,0,0
"293",0,0,0,0,251,287,338,402,461,500,0,0,0,45,10,11,0,0,35,10
"294",10,61,101,180,226,0,319,0,411,0,50,27,0,0,8,13,0,34,0,0
"295",0,0,0,0,0,0,327,0,432,461,0,0,27,0,0,0,0,0,0,0
"296",0,0,122,0,0,279,0,0,426,0,0,0,0,0,0,0,0,0,0,11
"297",0,0,117,167,214,277,310,0,446,494,0,45,0,0,0,0,0,0,38,20
"298",0,0,0,0,0,276,323,391,460,503,52,38,27,0,0,13,28,40,35,14
"299",0,0,114,192,250,269,312,0,429,470,46,40,44,61,17,12,28,42,0,0
"300",0,64,0,168,197,255,323,401,447,455,0,0,0,0,0,15,24,37,31,13
"301",0,55,114,168,221,0,341,421,466,494,24,0,32,18,14,0,0,0,0,32
"302",7,0,134,170,255,308,355,381,472,478,36,0,31,20,12,15,20,0,16,44
"303",0,0,0,0,0,305,350,346,0,483,38,27,50,19,21,22,0,0,0,0
"304",9,57,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0
"305",0,0,0,0,0,0,0,0,0,0,0,25,44,14,0,0,0,0,0,0
"306",0,0,92,0,0,0,315,395,438,515,27,0,0,0,0,0,0,0,7,0
"307",0,66,130,179,222,289,349,427,449,485,0,0,0,21,13,23,29,24,18,42
"308",10,67,131,188,226,288,331,412,476,506,19,18,0,13,14,0,0,0,0,0
"309",0,0,0,0,0,0,339,399,469,514,0,0,0,0,14,0,0,0,0,0
"310",9,65,130,0,0,288,0,357,418,0,37,29,40,0,0,0,20,0,0,0
"311",0,0,0,0,0,0,335,409,462,487,30,0,0,0,0,0,0,0,0,0
"312",0,67,127,173,0,0,0,0,445,490,37,27,0,0,0,0,15,0,8,0
"313",0,0,131,0,0,0,0,360,0,0,0,0,0,0,0,0,0,11,0,41
"314",0,70,117,173,214,267,0,360,0,494,0,0,0,25,10,21,25,18,0,32
"315",0,51,121,143,0,264,307,364,469,561,29,0,0,0,0,0,16,18,12,0
"316",0,0,0,0,0,0,322,0,443,456,0,24,0,0,0,0,0,0,9,0
"317",15,75,127,168,219,284,333,366,434,0,0,0,39,0,0,0,27,25,0,32
"318",13,69,0,0,0,0,343,389,426,523,0,0,0,0,0,0,0,14,0,0
"319",0,0,130,184,249,305,376,420,475,549,0,0,0,0,0,0,0,0,0,30
"320",11,76,127,171,239,0,0,363,437,0,0,0,0,0,10,0,0,0,0,25
"321",0,75,122,188,229,294,358,409,435,484,0,18,27,0,0,0,0,0,0,41
"322",0,0,122,168,0,300,302,0,0,0,0,0,0,0,0,25,30,25,15,37
